incident_name,incident_dateonly_created,incident_county,incident_acres_burned,incident_latitude,incident_longitude,MONTH,DAY_OF_WEEK,SEASON,FIRE_SIZE_CAT
Church Fire,2017-10-21,San Diego,100.0,32.64962,-116.37345,10,5,Fall,Medium
Oak Fire,2017-11-29,San Bernardino,99.0,34.035344,-116.940661,11,2,Fall,Medium
Lilac Fire,2017-12-07,San Diego,4088.0,33.3237,-117.163,12,3,Winter,Large
Liberty Fire,2017-12-07,Riverside,300.0,33.59257,-117.14979,12,3,Winter,Large
Longhorn Fire,2017-12-13,Riverside,19.0,33.88994,-116.91023,12,2,Winter,Small
Skirball Fire,2017-12-06,Los Angeles,422.0,34.09454,-118.48178,12,2,Winter,Large
Drum Fire,2017-12-16,Santa Barbara,14.0,34.71796,-120.27077,12,5,Winter,Small
Coast Fire,2017-12-14,Santa Barbara,14.0,34.605358,-120.414875,12,3,Winter,Small
Riverbottom Fire,2017-12-21,Riverside,45.0,33.9885,-117.38417,12,3,Winter,Medium
Holiday Fire,2017-12-28,El Dorado,80.0,38.869036,-119.61865,12,3,Winter,Medium
Haycamp Fire,2018-02-07,Monterey,50.0,35.96689,-121.28185,2,2,Winter,Medium
Pleasant Fire,2018-02-18,Inyo,2070.0,37.40208,-118.50235,2,6,Winter,Large
Grant Fire,2018-05-14,Alameda,12.0,37.73835,-121.6039,5,0,Spring,Small
Patterson Fire,2018-05-17,Riverside,1261.0,33.62924,-117.05992,5,3,Spring,Large
Tyler Fire,2018-04-15,Riverside,15.0,33.711263,-116.164058,4,6,Spring,Small
Santa Cruz Fire,2018-03-27,Santa Barbara,258.0,34.0232,-119.76576,3,1,Spring,Large
Rock Fire,2018-03-27,Shasta,11.0,40.4635,-121.77419,3,1,Spring,Small
Meadow Fire,2018-04-09,Riverside,21.0,33.86439,-117.48144,4,0,Spring,Small
Volcan Fire,2018-05-10,San Diego,12.0,33.12213,-116.58759,5,3,Spring,Small
Shastina Fire,2018-05-09,Siskiyou,127.0,41.65935,-122.48556,5,2,Spring,Medium
Lago Fire,2018-04-22,Riverside,18.0,33.88744,-117.16232,4,6,Spring,Small
French Fire,2018-04-26,Plumas,20.0,39.89075,-120.18499,4,3,Spring,Small
Happy Fire,2018-05-17,Santa Barbara,60.0,34.74245,-120.18236,5,3,Spring,Medium
Jacques Fire,2018-05-09,San Diego,18.0,33.40178,-117.27467,5,2,Spring,Small
Alpha Fire,2018-05-04,San Diego,300.0,33.389425,-117.502405,5,4,Spring,Large
Nees Fire,2018-05-02,Merced,1756.0,36.85156,-120.77206,5,2,Spring,Large
Tornado Fire,2018-05-04,Riverside,70.0,33.504964,-117.148204,5,4,Spring,Medium
Woodchuck Fire,2018-05-04,Riverside,15.0,33.467999,-117.003829,5,4,Spring,Small
Moffat Fire,2018-04-19,Inyo,1065.0,36.71537,-118.08449,4,3,Spring,Large
Grape Fire,2018-04-24,Humboldt,0.0,40.70258,-123.55012,4,1,Spring,Small
Main Fire,2018-04-28,Riverside,73.0,33.67815,-117.32281,4,5,Spring,Medium
White Fire,2018-05-18,Tulare,26.0,35.826333,-118.9821,5,4,Spring,Small
Jelly Fire,2018-05-18,Tehama,103.0,40.31759,-122.21032,5,4,Spring,Medium
Ager Fire,2018-05-19,Siskiyou,27.0,41.791859,-122.513883,5,5,Spring,Small
Plaza Fire,2018-05-20,Merced,88.0,37.056944,-121.01638,5,6,Spring,Medium
Bellagio Fire,2018-05-21,Napa,12.0,38.16303,-122.23059,5,0,Spring,Small
Agua Fire,2018-05-22,San Diego,59.0,33.35505,-117.03134,5,1,Spring,Medium
Experimental Fire,2018-05-23,Madera,56.0,37.0979,-119.75307,5,2,Spring,Medium
Water Fire,2018-05-24,San Luis Obispo,100.0,35.56922,-120.12441,5,3,Spring,Medium
Cobble Fire,2018-05-26,Fresno,108.0,36.75581,-119.42172,5,5,Spring,Medium
Keeler Fire,2018-05-27,Santa Clara,16.0,37.21803,-121.76828,5,6,Spring,Small
70th Fire,2018-05-28,Riverside,10.0,33.53924,-116.10231,5,0,Spring,Small
Chrome Fire,2018-05-28,Glenn,75.0,39.65578,-122.58666,5,0,Spring,Medium
Stuhr Fire,2018-05-29,Stanislaus,63.0,37.32744,-121.10903,5,1,Spring,Medium
Vineyard Fire,2018-05-29,San Luis Obispo,25.0,35.71859,-120.64028,5,1,Spring,Small
Grant Fire,2018-05-30,Alameda,484.0,37.75375,-121.57918,5,2,Spring,Large
Madison FIre,2018-06-01,Yolo,14.0,38.64953,-122.01762,6,4,Summer,Small
Open Fire,2018-06-01,Glenn,127.0,39.46543,-122.65582,6,4,Summer,Medium
Plymire Fire,2018-06-01,Tehama,23.0,40.201826,-122.29388,6,4,Summer,Small
Glen Fire,2018-06-02,Contra Costa,23.0,37.99113,-121.86473,6,5,Summer,Small
Aliso Fire,2018-06-02,Orange,175.0,33.55132,-117.72044,6,5,Summer,Large
Jardin Fire,2018-06-02,Riverside,10.0,33.45014,-117.22215,6,5,Summer,Small
Coldwell Fire,2018-06-02,Fresno,13.0,36.10499,-120.55324,6,5,Summer,Small
Black Fire,2018-06-03,Tehama,10.0,39.80827,-122.3307,6,6,Summer,Small
Grande Fire,2018-06-03,Riverside,11.0,33.47413,-117.31468,6,6,Summer,Small
Ethanac Fire,2018-06-03,Riverside,17.0,33.742,-117.28189,6,6,Summer,Small
Fairview Fire,2018-06-03,San Benito,35.0,36.83036,-121.36446,6,6,Summer,Small
Resort Fire,2018-06-03,San Luis Obispo,12.0,35.75737,-120.91793,6,6,Summer,Small
Martin Fire,2018-06-03,Siskiyou,37.0,41.58233,-122.33769,6,6,Summer,Medium
Adobe Fire,2018-06-03,San Diego,38.0,32.78031,-117.06782,6,6,Summer,Medium
Green Fire,2018-06-03,San Diego,10.0,32.75072,-116.92404,6,6,Summer,Small
Stone Fire,2018-06-04,Los Angeles,1352.0,34.5486,-118.31138,6,0,Summer,Large
Meamber Fire,2018-06-04,Siskiyou,12.0,41.64805,-122.98442,6,0,Summer,Small
Airline Fire,2018-06-04,San Benito,1314.0,36.40755,-120.99322,6,0,Summer,Large
Eastern Fire,2018-06-04,San Benito,513.0,36.378333,-120.901167,6,0,Summer,Large
ONeals Fire,2018-06-04,Madera,300.0,37.10181,-119.623981,6,0,Summer,Large
Panoche Fire,2018-06-04,San Benito,64.0,36.64832,-121.03253,6,0,Summer,Medium
Pallet Fire,2018-06-05,Sonoma,10.0,38.245151,-122.44408,6,1,Summer,Small
Vista Fire,2018-06-05,San Diego,12.0,33.40769,-117.22974,6,1,Summer,Small
Recycle Fire,2018-06-06,San Diego,265.0,32.63046,-116.46674,6,2,Summer,Large
Liberty Fire,2018-06-11,San Joaquin,62.0,38.24033,-121.09199,6,0,Summer,Medium
Bear Fire,2018-06-07,Merced,200.0,37.33924,-120.24315,6,3,Summer,Large
Apple Fire,2018-06-09,Tehama,2956.0,39.94355,-122.3571,6,5,Summer,Large
Chrome Fire,2018-06-09,Glenn,2290.0,39.64978,-122.58218,6,5,Summer,Large
Mission Fire,2018-06-09,Marin,12.0,37.97638,-122.5275,6,5,Summer,Small
South Fire,2018-06-09,Los Angeles,175.0,37.97638,-122.5275,6,5,Summer,Large
Sam Fire,2018-06-09,Monterey,96.0,35.9352,-121.11936,6,5,Summer,Medium
Beaver Fire,2018-06-12,San Benito,215.0,36.37532,-120.862579,6,1,Summer,Large
Vista Fire,2018-06-13,San Luis Obispo,60.0,35.663607,-120.670311,6,2,Summer,Medium
Santiago Fire,2018-06-11,Orange,155.0,33.787838,-117.746625,6,0,Summer,Medium
Euclid Fire,2018-06-12,Riverside,154.0,33.925862,-117.654299,6,1,Summer,Medium
Portola Fire ,2018-06-12,Los Angeles,20.0,34.110516,-118.427886,6,1,Summer,Small
Spring Fire,2018-06-13,Tehama,70.0,40.394073,-122.135924,6,2,Summer,Medium
Bridle Fire,2018-06-14,Riverside,20.0,33.524412,-116.821724,6,3,Summer,Small
70 Fire,2018-06-14,Butte,20.0,39.602703,-121.617698,6,3,Summer,Small
Creston FIre,2018-06-14,San Luis Obispo,60.0,35.58354,-120.624135,6,3,Summer,Medium
Tumbleweed Fire,2018-06-14,Lassen,646.0,40.3768,-120.36403,6,3,Summer,Large
Planada Fire,2018-06-15,Merced,4563.0,37.39339,-120.34207,6,4,Summer,Large
Raymond Fire,2018-06-15,Madera,60.0,37.14663,-119.91223,6,4,Summer,Medium
Boyer Fire,2018-06-15,Mariposa,53.0,37.47677,-119.84299,6,4,Summer,Medium
Oregon Fire,2018-06-16,Butte,40.0,39.549167,-121.521111,6,5,Summer,Medium
Creek Fire,2018-06-16,Lake,32.0,38.886518,-122.476381,6,5,Summer,Small
Willow Fire,2018-06-16,Contra Costa,25.0,38.015323,-121.998967,6,5,Summer,Small
China Fire,2018-06-17,Amador,17.0,38.265645,-120.892404,6,6,Summer,Small
Vallecitos Fire,2018-06-17,Alameda,20.0,37.627119,-121.806775,6,6,Summer,Small
Dinosaur Fire,2018-06-17,Merced,185.0,37.05876,-121.176354,6,6,Summer,Large
Wheeler Fire,2018-06-18,Mariposa,115.0,37.707234,-120.199162,6,0,Summer,Medium
Iron Fire,2018-06-19,Contra Costa,40.0,37.779209,-121.908976,6,1,Summer,Medium
Ranchita Fire,2018-06-19,Monterey,10.0,35.77017,-120.57833,6,1,Summer,Small
Yankee Fire,2018-06-20,San Luis Obispo,1500.0,35.73629,-120.75593,6,2,Summer,Large
Creek Fire,2018-06-21,San Luis Obispo,10.0,35.05747,-120.39295,6,3,Summer,Small
Bascom Fire,2018-06-23,Shasta,328.0,40.52909,-122.17457,6,5,Summer,Large
Lane Fire,2018-06-23,Tehama,3392.0,40.35068,-121.77867,6,5,Summer,Large
Sierra Fire,2018-06-23,Tehama,170.0,40.12791,-122.19792,6,5,Summer,Large
Stoll Fire,2018-06-23,Tehama,268.0,40.18395,-122.27574,6,5,Summer,Large
Pawnee Fire,2018-06-23,Lake,15180.0,39.0674,-122.59848,6,5,Summer,Large
Canyon Fire,2018-06-23,Los Angeles,62.0,34.53765,-118.75495,6,5,Summer,Medium
Stony Fire,2018-07-04,Colusa,75.0,39.2976,-122.512012,7,2,Summer,Medium
Sheep Fire,2018-06-29,Kern,95.0,35.1234,-118.72905,6,4,Summer,Medium
Creek Fire,2018-06-24,Shasta,1678.0,40.50318,-122.42308,6,6,Summer,Large
Flat Fire,2018-06-24,Tuolumne,163.0,37.80785,-120.30187,6,6,Summer,Large
Horse Fire,2018-06-24,Calaveras,80.0,37.95766,-120.68902,6,6,Summer,Medium
Romero Fire,2018-06-24,Merced,68.0,37.08529,-121.09354,6,6,Summer,Medium
Peach Fire ,2018-07-05,Mendocino,90.0,39.038859,-123.38493,7,3,Summer,Medium
Waverly Fire,2018-06-29,San Joaquin,11789.0,38.052055,-120.945482,6,4,Summer,Large
Llano Fire,2018-06-29,Butte,10.0,39.6139,-121.954098,6,4,Summer,Small
Flat Fire,2018-06-28,Trinity,300.0,40.60402,-122.9144,6,3,Summer,Large
San Ardo,2018-06-26,Monterey,375.0,35.95515,-120.86256,6,1,Summer,Large
Lions Fire,2018-06-11,Madera,4064.0,37.571,-119.118,6,0,Summer,Large
Anchor Fire,2018-06-27,Fresno,76.0,36.696879,-119.304499,6,2,Summer,Medium
Shippee Fire,2018-06-26,Butte,460.0,39.59872,-121.78208,6,1,Summer,Large
Fox Fire,2018-06-26,San Luis Obispo,260.0,35.33916,-120.71488,6,1,Summer,Large
Hyatt Fire,2018-06-27,Lassen,383.0,40.316137,-120.45053,6,2,Summer,Large
Cherry Fire,2018-06-27,Siskiyou,63.0,41.83359,-122.99272,6,2,Summer,Medium
Par Fire,2018-07-04,Butte,191.0,39.491737,-121.637759,7,2,Summer,Large
Grant Fire,2018-06-29,Sacramento,30.0,38.595865,-121.17693,6,4,Summer,Small
Valley Fire,2018-06-29,Contra Costa,268.0,37.94714,-121.9921,6,4,Summer,Large
Tesla Fire,2018-06-29,Santa Clara,70.0,37.66074,-121.67144,6,4,Summer,Medium
Creek Fire,2018-06-30,San Bernardino,33.0,34.17711,-117.15381,6,5,Summer,Small
County Fire,2018-06-30,"Napa, Yolo",90000.0,38.80583,-122.18183,6,5,Summer,Large
Benton Fire,2018-07-04,Riverside,63.0,33.56349,-116.732032,7,2,Summer,Medium
Lariat Fire,2018-07-14,Tehama,33.0,40.00293,-122.44008,7,5,Summer,Small
School Fire,2018-07-10,Madera,12.0,37.22791,-119.50461,7,1,Summer,Small
Petersburg Fire,2018-07-01,Siskiyou,215.0,41.085,-123.051,7,6,Summer,Large
West Fire,2018-07-06,San Diego,504.0,32.833674,-116.7311,7,4,Summer,Large
Buckingham Fire,2018-07-02,Contra Costa,45.0,37.86339,-122.12351,7,0,Summer,Medium
Building Fire,2018-07-06,San Diego,10.0,32.619855,-116.764733,7,4,Summer,Small
Shingle Fire,2018-07-04,El Dorado,316.0,38.539806,-121.059979,7,2,Summer,Large
Klamathon Fire,2018-07-05,Siskiyou,38008.0,41.893332,-122.534655,7,3,Summer,Large
Irish Fire,2018-07-06,Amador,825.0,38.42623,-120.95408,7,4,Summer,Large
Valley Fire,2018-07-06,San Bernardino,1350.0,34.095568,-116.958806,7,4,Summer,Large
Eagle Fire,2018-07-13,Modoc,2100.0,41.29363,-120.11461,7,4,Summer,Large
Holiday Fire,2018-07-06,Santa Barbara,113.0,34.463889,-119.831389,7,4,Summer,Medium
Bridle Fire,2018-07-06,Santa Clara,116.0,37.06367,-121.53586,7,4,Summer,Medium
Stoney Fire,2018-07-12,Butte,962.0,39.77124,-121.76859,7,3,Summer,Large
Gray Fire,2018-07-13,San Bernardino,12.0,34.171786,-117.35606,7,4,Summer,Small
Ferguson Fire,2018-07-13,Mariposa,96901.0,37.6549,-119.88581,7,4,Summer,Large
Lebec Fire,2018-07-08,Kern,62.0,34.86022,-118.87881,7,6,Summer,Medium
Dark Fire,2018-07-10,Butte,11.0,39.66492,-121.51772,7,1,Summer,Small
Curie Fire,2018-07-10,Santa Clara,70.0,37.22545,-121.79189,7,1,Summer,Medium
Hale Fire,2018-07-10,Santa Clara,51.0,37.163594,-121.702547,7,1,Summer,Medium
Kelley Fire,2018-07-14,Modoc,52.0,41.50105,-120.61108,7,5,Summer,Medium
Panoche Fire,2018-07-11,San Benito,278.0,36.65351,-121.0454,7,2,Summer,Large
Georges Fire,2018-07-08,Inyo,2883.0,36.6734,-118.21881,7,6,Summer,Large
Vista Fire,2018-07-08,Shasta,31.0,40.62693,-122.23449,7,6,Summer,Small
Bruce Fire,2018-07-08,Contra Costa,56.0,37.79718,-121.85311,7,6,Summer,Medium
Grant Fire,2018-07-08,Alameda,480.0,37.75646,-121.60646,7,6,Summer,Large
Box Fire,2018-07-06,San Bernardino,100.0,34.22526,-117.40967,7,4,Summer,Medium
Cornerstone Fire,2018-07-09,Madera,11.0,37.19817,-119.80414,7,0,Summer,Small
Spring 2 Fire,2018-07-09,Lake,80.0,39.06715,-122.59789,7,0,Summer,Medium
Dale Fire,2018-07-09,Tehama,856.0,40.33682,-121.93908,7,0,Summer,Large
Idria Fire,2018-07-12,San Benito,116.0,36.59036,-120.82355,7,3,Summer,Medium
3-2 Fire,2018-07-14,Lassen,14.0,39.99309,-120.02137,7,5,Summer,Small
Steamboat Fire,2018-07-15,Siskiyou,224.0,41.70877,-122.47293,7,6,Summer,Large
3-10 Fire,2018-07-15,Lassen,56.0,40.95234,-121.21597,7,6,Summer,Medium
Johnson Fire,2018-07-15,Humboldt,16.0,41.34453,-123.85404,7,6,Summer,Small
3-18 Fire,2018-07-15,Lassen,32.0,41.08583,-121.05722,7,6,Summer,Small
3-16 Fire,2018-07-15,Lassen,89.0,40.94666,-121.27049,7,6,Summer,Medium
Tuscan Fire,2018-07-15,Tehama,50.0,40.27754,-122.11375,7,6,Summer,Medium
Mill Creek 1 Fire,2018-08-16,Humboldt,3674.0,41.07944,-123.688056,8,3,Summer,Large
Camp Fire,2018-07-17,San Luis Obispo,14.0,35.70086,-120.97339,7,1,Summer,Small
Border Fire,2018-07-17,San Diego,28.0,32.557566,-116.8663,7,1,Summer,Small
Lott Fire,2018-07-17,Siskiyou,10.0,41.632373,-122.37985,7,1,Summer,Small
Cruces Fire,2018-07-18,Santa Barbara,77.0,34.54305556,-120.3180556,7,2,Summer,Medium
Eighty Eight Fire,2018-07-18,Yolo,822.0,38.59694444,-121.9938889,7,2,Summer,Large
Simmons Fire,2018-07-19,Butte,43.0,39.57202,-121.43131,7,3,Summer,Medium
Ben Fire,2018-07-19,Mariposa,40.0,37.28365,-119.97546,7,3,Summer,Medium
Cinnamon Fire,2018-07-20,San Diego,13.0,33.04898,-116.78928,7,4,Summer,Small
Skyline Fire,2018-07-19,Riverside,282.0,33.836101,-117.607577,7,3,Summer,Large
Highland Fire,2018-07-20,Shasta,63.0,40.741186,-122.649626,7,4,Summer,Medium
Windmill Fire,2018-07-20,Santa Barbara,110.0,34.62412,-120.22298,7,4,Summer,Medium
Carder Fire,2018-07-21,Lake,50.0,38.91152,-122.86854,7,5,Summer,Medium
Rock Fire,2018-07-21,San Luis Obispo,30.0,35.68539,-120.95157,7,5,Summer,Small
Mustang Fire,2018-07-21,San Luis Obispo,37.0,35.64917,-120.71907,7,5,Summer,Medium
Country Fire,2018-07-22,Santa Clara,320.0,37.449425,-121.88807,7,6,Summer,Large
Heart Fire,2018-07-21,Mendocino,67.0,39.279833,-123.258319,7,5,Summer,Medium
Horse Creek Fire,2018-07-19,Tulare,34.0,36.42638,-118.70443,7,3,Summer,Small
Carr Fire,2018-07-23,"Shasta, Trinity",229651.0,40.65428,-122.62357,7,0,Summer,Large
Pico Fire,2018-07-23,Los Angeles,128.0,34.38039,-118.60441,7,0,Summer,Medium
Martinez Fire,2018-07-23,Riverside,40.0,33.56921,-116.154398,7,0,Summer,Medium
Ridge Fire,2018-09-02,Lake,36.0,38.981389,-122.97222,9,6,Fall,Medium
Crestline Fire,2018-07-24,Shasta,51.0,40.824,-121.90215,7,1,Summer,Medium
Roxie Fire (Formerly 1-1 Fire),2018-07-24,Lassen,167.0,40.34822,-120.82497,7,1,Summer,Large
Church Fire,2018-07-25,Santa Clara,20.0,37.07793,-121.600023,7,2,Summer,Small
Marsh Fire,2018-07-25,Contra Costa,247.0,37.89612,-121.85847,7,2,Summer,Large
Hidden Fire,2018-07-25,San Benito,39.0,36.796,-121.40604,7,2,Summer,Medium
Patterson Fire,2018-07-25,Alameda,34.0,37.71173,-121.55604,7,2,Summer,Small
Western Fire,2018-08-01,Mendocino,106.0,38.8802,-123.0496,8,2,Summer,Medium
Pasqual Fire,2018-07-27,San Diego,365.0,33.07892,-116.91845,7,4,Summer,Large
Ribbon Fire,2018-07-26,Riverside,205.0,33.571763,-116.500058,7,3,Summer,Large
Parrots Fire,2018-08-05,Calaveras,136.0,38.08424,-120.46078,8,6,Summer,Medium
Wagner Fire,2018-08-04,Mariposa,22.0,37.69965,-120.0545,8,5,Summer,Small
Creek Fire,2018-08-04,Alameda,30.0,37.533026,-121.79733,8,5,Summer,Small
Tarina Fire,2018-08-03,Kern,3156.0,35.37444,-118.83556,8,4,Summer,Large
Ranch Fire (Mendocino Complex),2018-07-27,"Colusa, Mendocino, Glenn, Lake",410203.0,39.243283,-123.103367,7,4,Summer,Large
Balch Fire,2018-07-27,Tulare,100.0,36.21634,-118.82989,7,4,Summer,Medium
River Fire (Mendocino Complex),2018-07-27,"Colusa, Lake, Mendocino",48920.0,39.04786,-123.11971,7,4,Summer,Large
Breckenridge Fire,2018-07-27,Kern,993.0,35.387408,-118.817934,7,4,Summer,Large
Whaleback Fire,2018-07-27,Lassen,18703.0,40.633536,-120.868091,7,4,Summer,Large
Donnell Fire,2018-08-01,Tuolumne,36450.0,38.349,-119.929,8,2,Summer,Large
Owens Fire,2018-07-31,Inyo,338.0,37.735461,-118.970443,7,1,Summer,Large
Sobrante Fire,2018-07-28,Riverside,30.0,33.85852,-117.43521,7,5,Summer,Small
Rock Fire,2018-07-28,San Diego,207.0,33.41476,-117.24044,7,5,Summer,Large
Butte Fire,2018-07-31,Sutter,1200.0,39.186144,-121.792885,7,1,Summer,Large
Steele Fire,2018-07-28,Napa,135.0,38.51943,-122.18353,7,5,Summer,Medium
Eel Fire,2018-07-31,Mendocino,972.0,39.82877,-123.08489,7,1,Summer,Large
Corner Fire,2018-07-29,Shasta,35.0,40.95673,-121.6002,7,6,Summer,Small
Reservoir Fire,2018-09-16,San Luis Obispo,51.0,35.30151,-120.64398,9,6,Fall,Medium
Casner Fire,2018-08-06,San Diego,14.0,33.05737,-116.77154,8,0,Summer,Small
Bumper Fire,2018-08-01,El Dorado,67.0,38.645,-120.874167,8,2,Summer,Medium
Omega Fire,2018-08-01,El Dorado,66.0,38.82128,-121.03918,8,2,Summer,Medium
Sunset Fire,2018-08-01,Placer,695.0,38.82426,-121.451307,8,2,Summer,Large
Turkey Fire,2018-08-06,Monterey,2225.0,35.847778,-120.343056,8,0,Summer,Large
Holy Fire,2018-08-06,Orange,23136.0,33.69888,-117.52055,8,0,Summer,Large
Terra Fire,2018-08-06,Riverside,35.0,33.759722,-117.460278,8,0,Summer,Small
South Fire,2018-08-06,Calaveras,290.0,38.061298,-120.872244,8,0,Summer,Large
Murphy Fire,2018-08-07,Plumas,117.0,39.996944,-121.27,8,1,Summer,Medium
Five Fire,2018-08-06,Kings,2995.0,35.97896,-119.98329,8,0,Summer,Large
Bridge Fire,1969-12-31,Marin,45.0,38.07135,-122.76751,12,2,Winter,Medium
Pine Fire,2018-08-16,Kern,114.0,35.56888889,-118.8013889,8,3,Summer,Medium
Hirz Fire,2018-08-09,Shasta,46150.0,40.896,-122.219,8,3,Summer,Large
Land Fire,2018-08-22,Riverside,23.0,33.946896,-117.066643,8,2,Summer,Small
Rangeland Fire,2018-08-09,San Diego,250.0,33.076239,-116.902985,8,3,Summer,Large
Hat Fire,2018-08-09,Shasta,1900.0,40.99344,-121.52225,8,3,Summer,Large
Syar Fire,2018-08-09,Napa,10.0,38.27229,-122.26389,8,3,Summer,Small
Alhambra Fire,2018-08-17,Contra Costa,30.0,37.99618,-122.14097,8,4,Summer,Small
Snell Fire,2018-09-08,Napa,2490.0,38.69601,-122.44468,9,5,Fall,Large
Nelson Fire,2018-08-10,Solano,2162.0,38.431278,-122.043747,8,4,Summer,Large
Marcel Fire,2018-08-17,Kern,34.0,35.17156,-118.51651,8,4,Summer,Small
Oak Fire,2018-08-12,Nevada,16.0,39.10494,-121.07039,8,6,Summer,Small
Cloverdale Fire,2018-08-13,San Diego,100.0,33.0971179,-117.0242529,8,0,Summer,Medium
Gulch Fire,2018-08-11,Monterey,700.0,36.00912,-120.82226,8,5,Summer,Large
River Fire,2018-08-15,Tulare,496.0,35.79012,-118.7393,8,2,Summer,Large
Stone Fire,2018-08-15,Modoc,39387.0,41.38544,-121.04386,8,2,Summer,Large
Castro Fire,2018-08-26,Alameda,48.0,37.69926,-122.02805,8,6,Summer,Medium
Call Fire,2018-08-18,Kern,367.0,35.51777778,-118.6525,8,5,Summer,Large
Gorge Fire,2018-08-19,Shasta,155.0,40.36888889,-122.8905556,8,6,Summer,Medium
Front Fire,2018-08-19,Santa Barbara,1014.0,35.11416667,-120.0922222,8,6,Summer,Large
Keller Fire,2018-08-19,Riverside,10.0,33.627006,-117.171731,8,6,Summer,Small
Eastman Fire,2018-08-23,Madera,289.0,37.197039,-120.002619,8,3,Summer,Large
Country Fire,2018-08-25,Riverside,32.0,33.97902,-117.20534,8,5,Summer,Small
Redinger Fire,2018-08-27,Madera,88.0,37.179167,-119.431667,8,0,Summer,Medium
Cache Fire,2018-08-26,Lake,103.0,39.02017,-122.57496,8,6,Summer,Medium
Winchester Fire,2018-08-27,Riverside,36.0,33.640051,-117.085354,8,0,Summer,Medium
Fork Fire,2018-09-09,Los Angeles,166.0,34.2325,-117.846111,9,6,Fall,Large
Grade Fire,2018-08-30,Lake,60.0,38.8275,-122.3625,8,3,Summer,Medium
Ogilvy Fire,2018-09-01,Santa Barbara,172.0,34.576944,-119.61416,9,5,Fall,Large
Essex Fire,2018-09-02,Modoc,15.0,41.52123,-120.72362,9,6,Fall,Small
Sterling,2018-08-31,San Bernardino,125.0,34.15475,-117.244366,8,4,Summer,Medium
Delta Fire,2018-09-05,"Shasta, Trinity",63311.0,40.9425,-122.43,9,2,Fall,Large
Kelsey Fire,2018-09-03,Lake,24.0,38.91842,-122.85276,9,0,Fall,Small
North Fire,2018-09-03,Placer,1120.0,39.268611,-120.658333,9,0,Fall,Large
Sliger Fire,2018-09-04,El Dorado,150.0,38.94388,-120.92611,9,1,Fall,Medium
Ranchera Fire,2018-09-04,Shasta,13.0,40.678889,-122.400556,9,1,Fall,Small
Tulloch Fire,2018-09-08,Tuolumne,573.0,37.83388,-120.61746,9,5,Fall,Large
Kerlin Fire,2018-09-04,Trinity,1751.0,40.616251,-123.52019,9,1,Fall,Large
Boot Fire,2018-09-04,Mono,6974.0,38.347395,-119.45186,9,1,Fall,Large
Metz Fire,2018-09-13,Monterey,411.0,36.35502,-121.1563,9,3,Fall,Large
Irving Fire,2018-09-10,Marin,152.0,38.02447,-122.727,9,0,Fall,Medium
Water Fire,2018-09-12,Kern,200.0,34.91482,-118.92485,9,2,Fall,Large
Soboba Fire,2018-09-14,Riverside,25.0,33.80406,-116.93188,9,4,Fall,Small
Meyers Fire,2018-09-20,El Dorado,12.0,38.7448,-120.65672,9,3,Fall,Small
Charlie Fire,2018-09-22,Los Angeles,3380.0,34.48229,-118.60858,9,5,Fall,Large
Oak Fire,2018-09-22,Madera,360.0,37.38789,-119.68912,9,5,Fall,Large
Copper Fire,2018-09-22,Lassen,53.0,40.33642,-120.93005,9,5,Fall,Medium
Wilson Fire,2018-09-28,Tehama,261.0,40.34256,-121.43025,9,4,Fall,Large
Silver Fire,2018-09-28,Shasta,76.0,40.5939,-122.17173,9,4,Fall,Medium
Quimby Fire,2018-09-23,Santa Clara,30.0,37.33563,-121.75815,9,6,Fall,Small
Nimshew Fire,2018-09-24,Butte,33.0,39.84151,-121.62168,9,0,Fall,Small
Shandon Fire,2018-09-29,San Luis Obispo,80.0,-120.258,-120.258,9,5,Fall,Medium
Keenbrook Fire,2018-09-26,San Bernardino,53.0,34.24138,-117.42431,9,2,Fall,Medium
Nacimiento Fire,2018-10-02,Monterey,150.0,35.97677,-121.24898,10,1,Fall,Medium
Eagle Fire,2018-10-02,Fresno,32.0,36.938674,-119.3127769,10,1,Fall,Small
Sun Fire,2018-10-07,Tehama,3889.0,40.22027778,-122.18,10,6,Fall,Large
Park Fire,2018-10-07,Santa Clara,63.0,37.1769444,-121.6869444,10,6,Fall,Medium
Iron Gate Fire,2018-10-10,Siskiyou,15.0,41.94046,-122.43933,10,2,Fall,Small
Winters Fire,2018-10-12,Solano,160.0,38.45673,-121.94658,10,4,Fall,Large
Priest Fire,2018-10-13,Monterey,167.0,36.18401,-120.69955,10,5,Fall,Large
Tower Fire,2018-10-14,Shasta,12.0,40.49618,-122.51597,10,6,Fall,Small
Masonic Fire,2018-10-14,Shasta,38.0,40.60866,-122.38366,10,6,Fall,Medium
Powellton Fire,2018-10-15,Butte,10.0,39.93427,-121.54103,10,0,Fall,Small
Camino Fire,2018-10-19,San Luis Obispo,58.0,35.17693,-120.48861,10,4,Fall,Medium
Market Fire,2018-10-24,Tulare,120.0,36.47766,-119.10433,10,2,Fall,Medium
June Fire,2018-10-30,Butte,550.0,39.36529,-121.51707,10,1,Fall,Large
Rincon Fire,2018-11-03,Santa Cruz,17.0,37.0125,-122.046,11,5,Fall,Small
Brushy Fire,2018-11-08,Mendocino,35.0,39.62194,-123.28774,11,3,Fall,Small
Camp Fire,2018-11-08,Butte,153336.0,39.8134,-121.4347,11,3,Fall,Large
