incident_name,incident_dateonly_created,incident_county,incident_acres_burned,incident_latitude,incident_longitude,MONTH,DAY_OF_WEEK,SEASON,FIRE_SIZE_CAT
Winding Fire,2022-07-18,Yuba,82.0,39.314076,-121.27693,7,0,Summer,Medium
Meadow Fire ,2022-07-19,Mendocino,17.0,39.058043,-123.33756,7,1,Summer,Small
Flynn Fire ,2022-07-19,Alameda,121.0,37.719206,-121.656106,7,1,Summer,Medium
Slate Fire ,2022-07-21,Tuolumne,64.0,37.935092,-120.4422218,7,3,Summer,Medium
Anzar Fire,2022-07-21,San Benito,104.0,36.8927679,-121.604728,7,3,Summer,Medium
Oak Fire ,2022-07-22,Mariposa,19244.0,37.5509366,-119.9234728,7,4,Summer,Large
Cable Fire ,2022-07-26,El Dorado,20.0,38.75794,-120.63742,7,1,Summer,Small
Casner Fire,2022-07-27,San Diego,174.0,33.0819687,-116.7626279,7,2,Summer,Large
Apple Fire,2022-07-27,Yuba,39.0,39.323167,-121.304167,7,2,Summer,Medium
McKinney Fire ,2022-07-29,Siskiyou,60138.0,41.833813,-122.894782,7,4,Summer,Large
Highway Fire,2022-07-29,San Bernardino,28.0,34.312437,-117.3463886,7,4,Summer,Small
Mesa Fire,2022-07-30,Kern,222.0,35.5745007,-118.4125811,7,5,Summer,Large
Shackleford Fire,2022-07-30,Siskiyou,31.0,41.5734543,-123.0213226,7,5,Summer,Small
Pebble Fire,2022-07-31,Fresno,55.0,36.6760553,-119.1902259,7,6,Summer,Medium
Kelsey Fire,2022-07-30,Siskiyou,85.0,41.6430162,-123.1193265,7,5,Summer,Medium
Meamber Fire,2022-07-31,Siskiyou,63.0,41.640867,-122.988315,7,6,Summer,Medium
Marmot Fire,2022-08-02,Tulare,127.0,36.378236,-118.853671,8,1,Summer,Medium
Springs Fire,2022-08-03,Tuolumne,51.0,37.84349,-120.50806,8,2,Summer,Medium
Smokey Fire ,2022-08-04,Siskiyou,34.0,41.9708541,-122.7825581,8,3,Summer,Small
3-8 Fire ,2022-08-08,Lassen,14.0,41.060445,-121.211449,8,0,Summer,Small
Sam Fire,2022-08-10,Los Angeles,149.0,34.765322,-118.732882,8,2,Summer,Medium
Rail Fire,2022-08-14,Kern,250.0,35.2882644,-118.6292243,8,6,Summer,Large
Oak Fire,2022-08-15,Placer,19244.0,39.04941,-120.9526,8,0,Summer,Large
Wishon Fire,2022-08-15,Tulare,325.0,36.17768,-118.71829,8,0,Summer,Large
