incident_name,incident_dateonly_created,incident_county,incident_acres_burned,incident_latitude,incident_longitude,MONTH_fire,DAY_OF_WEEK_fire,SEASON_fire,FIRE_SIZE_CAT,DATE,TAVG,TMAX,TMIN,AWND,PRCP,TAVG_CAT,TMAX_CAT,TMIN_CAT,PRCP_CAT,MONTH_weather,DAY_OF_WEEK_weather,SEASON_weather
Elliot Fire,2020-07-13,Riverside,2.0,33.623968,-117.108421,7,0,Summer,Small,2020-07-13,,30.6,21.1,2.5,0.0,Unknown,High,High,Dry,7,0,Summer
Robinson Fire,2020-07-13,Butte,33.0,39.43227,-121.37994,7,0,Summer,Small,2020-07-13,,30.6,21.1,2.5,0.0,Unknown,High,High,Dry,7,0,Summer
Casino Fire,2020-07-13,Riverside,91.0,33.48429,-116.83552,7,0,Summer,Medium,2020-07-13,,30.6,21.1,2.5,0.0,Unknown,High,High,Dry,7,0,Summer
Mineral Fire,2020-07-13,Fresno,29667.0,36.09493,-120.52193,7,0,Summer,Large,2020-07-13,,30.6,21.1,2.5,0.0,Unknown,High,High,Dry,7,0,Summer
Coyote Fire,2020-07-15,San Benito,1485.0,36.653,-121.04401,7,2,Summer,Large,2020-07-15,,,,,0.0,Unknown,,,Dry,7,2,Summer
Ben Fire,2020-07-15,Mariposa,48.0,37.42319,-119.95807,7,2,Summer,Medium,2020-07-15,,,,,0.0,Unknown,,,Dry,7,2,Summer
Valley Fire ,2020-07-15,Yuba,500.0,39.10112,-121.33589,7,2,Summer,Large,2020-07-15,,,,,0.0,Unknown,,,Dry,7,2,Summer
Hollow Fire,2020-07-16,Alameda,253.0,37.64044,-121.59374,7,3,Summer,Large,2020-07-16,,25.6,18.9,2.3,0.0,Unknown,Medium,High,Dry,7,3,Summer
Pitzer Fire,2020-07-17,San Bernardino,119.0,34.39464,-116.97557,7,4,Summer,Medium,2020-07-17,,,,,0.0,Unknown,,,Dry,7,4,Summer
Badger Fire,2020-07-18,Siskiyou,557.0,41.79319,-122.69296,7,5,Summer,Large,2020-07-18,,26.7,18.3,2.4,0.0,Unknown,High,High,Dry,7,5,Summer
Hog Fire,2020-07-18,Lassen,9564.0,40.420886,-120.86375,7,5,Summer,Large,2020-07-18,,26.7,18.3,2.4,0.0,Unknown,High,High,Dry,7,5,Summer
Platina Fire,2020-07-19,Shasta,333.0,40.462621,-122.792645,7,6,Summer,Large,2020-07-19,,,,,0.0,Unknown,,,Dry,7,6,Summer
Gold Fire,2020-07-20,Lassen,22614.0,41.11037,-120.923293,7,0,Summer,Large,2020-07-20,,,,,0.0,Unknown,,,Dry,7,0,Summer
Milepost 21 Fire,2020-07-20,Humboldt,100.0,41.1849445,-123.6986222,7,0,Summer,Medium,2020-07-20,,,,,0.0,Unknown,,,Dry,7,0,Summer
Feather Fire,2020-07-20,Butte,30.0,39.506597,-121.604579,7,0,Summer,Small,2020-07-20,,,,,0.0,Unknown,,,Dry,7,0,Summer
Holland Fire ,2020-07-20,Contra Costa,75.0,37.977309,-121.620238,7,0,Summer,Medium,2020-07-20,,,,,0.0,Unknown,,,Dry,7,0,Summer
Easton Fire,2020-07-20,San Bernardino,71.0,34.135626,-117.192142,7,0,Summer,Medium,2020-07-20,,,,,0.0,Unknown,,,Dry,7,0,Summer
Rabbit Fire ,2020-07-20,Madera,135.0,37.118075,-119.932391,7,0,Summer,Medium,2020-07-20,,,,,0.0,Unknown,,,Dry,7,0,Summer
Iris Fire,2020-07-21,Mono,120.0,37.518879,-118.711135,7,1,Summer,Medium,2020-07-21,,,,,0.0,Unknown,,,Dry,7,1,Summer
July Complex,2020-07-24,"Siskiyou, Modoc",83261.0,41.699,-121.477,7,4,Summer,Large,2020-07-24,,23.9,18.3,2.6,0.0,Unknown,Medium,High,Dry,7,4,Summer
Jack Fire,2020-07-24,Riverside,145.0,33.93327,-117.033124,7,4,Summer,Medium,2020-07-24,,23.9,18.3,2.6,0.0,Unknown,Medium,High,Dry,7,4,Summer
Hill Fire,2020-07-24,Colusa,138.0,39.013591,-122.359663,7,4,Summer,Medium,2020-07-24,,23.9,18.3,2.6,0.0,Unknown,Medium,High,Dry,7,4,Summer
Karen Fire,2020-07-25,Riverside,250.0,34.028116,-117.429598,7,5,Summer,Large,2020-07-25,,25.6,18.9,2.3,0.0,Unknown,Medium,High,Dry,7,5,Summer
Ione Fire ,2020-07-26,Sacramento,51.0,38.420382,-121.044895,7,6,Summer,Medium,2020-07-26,,31.1,17.2,1.7,0.0,Unknown,High,High,Dry,7,6,Summer
Ridge Fire,2020-07-27,Los Angeles,321.0,34.75844,-118.72004,7,0,Summer,Large,2020-07-27,,30.0,17.8,1.6,0.0,Unknown,High,High,Dry,7,0,Summer
Lincoln Fire,2020-07-27,Humboldt,25.0,40.78804,-124.19954,7,0,Summer,Small,2020-07-27,,30.0,17.8,1.6,0.0,Unknown,High,High,Dry,7,0,Summer
Cottonwood Fire,2020-07-27,Merced,788.0,37.083806,-121.101634,7,0,Summer,Large,2020-07-27,,30.0,17.8,1.6,0.0,Unknown,High,High,Dry,7,0,Summer
Border 11 Fire,2020-07-28,San Diego,100.0,32.62212,-116.77048,7,1,Summer,Medium,2020-07-28,,,,,0.0,Unknown,,,Dry,7,1,Summer
Branch Fire,2020-07-28,San Luis Obispo,3222.0,35.35146,-120.00521,7,1,Summer,Large,2020-07-28,,,,,0.0,Unknown,,,Dry,7,1,Summer
Brook Fire,2020-07-29,San Bernardino,185.0,34.25143,-117.45479,7,2,Summer,Large,2020-07-29,,,,,0.0,Unknown,,,Dry,7,2,Summer
Clay Fire,2020-07-29,Sacramento,741.0,38.40329,-121.17197,7,2,Summer,Large,2020-07-29,,,,,0.0,Unknown,,,Dry,7,2,Summer
Rabbit Fire,2020-07-30,Riverside,104.0,33.934137,-117.034461,7,3,Summer,Medium,2020-07-30,,32.2,16.7,1.2,0.0,Unknown,High,Medium,Dry,7,3,Summer
Dam Fire,2020-07-30,Los Angeles,220.0,34.17363,-117.889503,7,3,Summer,Large,2020-07-30,,32.2,16.7,1.2,0.0,Unknown,High,Medium,Dry,7,3,Summer
Sheep Fire,2020-07-30,Kern,233.0,35.14357,-118.7933,7,3,Summer,Large,2020-07-30,,32.2,16.7,1.2,0.0,Unknown,High,Medium,Dry,7,3,Summer
Apple Fire,2020-07-31,Riverside,33424.0,33.99139,-116.9617,7,4,Summer,Large,2020-07-31,,,,,0.0,Unknown,,,Dry,7,4,Summer
Stump Fire,2020-08-01,Tehama,684.0,40.34659,-121.6415,8,5,Summer,Large,2020-08-01,,,,,0.0,Unknown,,,Dry,8,5,Summer
Castaic Fire,2020-08-01,Los Angeles,178.0,34.51853,-118.59699,8,5,Summer,Large,2020-08-01,,,,,0.0,Unknown,,,Dry,8,5,Summer
Pond Fire,2020-08-01,San Luis Obispo,2005.0,35.43128,-120.47346,8,5,Summer,Large,2020-08-01,,,,,0.0,Unknown,,,Dry,8,5,Summer
Post Fire,2020-08-02,Los Angeles,120.0,34.04447,-118.21608,8,6,Summer,Medium,2020-08-02,,29.4,17.8,1.5,0.0,Unknown,High,High,Dry,8,6,Summer
Beale Fire,2020-08-02,Yuba,600.0,39.11307,-121.38178,8,6,Summer,Large,2020-08-02,,29.4,17.8,1.5,0.0,Unknown,High,High,Dry,8,6,Summer
Sites Fire ,2020-08-02,Colusa,560.0,39.31313,-122.48525,8,6,Summer,Large,2020-08-02,,29.4,17.8,1.5,0.0,Unknown,High,High,Dry,8,6,Summer
North Fire,2020-08-02,Lassen,6882.0,40.36764,-120.44811,8,6,Summer,Large,2020-08-02,,29.4,17.8,1.5,0.0,Unknown,High,High,Dry,8,6,Summer
Water Fire,2020-08-02,Riverside,52.0,33.924086,-116.641846,8,6,Summer,Medium,2020-08-02,,29.4,17.8,1.5,0.0,Unknown,High,High,Dry,8,6,Summer
Sophia Fire,2020-08-02,El Dorado,36.0,38.686478,-121.103299,8,6,Summer,Medium,2020-08-02,,29.4,17.8,1.5,0.0,Unknown,High,High,Dry,8,6,Summer
Elsmere Fire,2020-08-03,Los Angeles,200.0,34.3428,-118.49731,8,0,Summer,Large,2020-08-03,,28.9,18.3,1.8,0.0,Unknown,High,High,Dry,8,0,Summer
